"ocurrencias"	"word"
"infierno"	29	"infierno"
"levantar"	29	"levantar"
"malas"	29	"malas"
"mesmos"	29	"mesmos"
"mostró"	29	"mostró"
"muchacho"	29	"muchacho"
"mula"	29	"mula"
"mulas"	29	"mulas"
"negro"	29	"negro"
"parecido"	29	"parecido"
"particular"	29	"particular"
"pensó"	29	"pensó"
"poetas"	29	"poetas"
"puertas"	29	"puertas"
"solamente"	29	"solamente"
"soneto"	29	"soneto"
"suplico"	29	"suplico"
"tampoco"	29	"tampoco"
"términos"	29	"términos"
"villano"	29	"villano"
"vizcaíno"	29	"vizcaíno"
"volviendo"	29	"volviendo"
"vuelve"	29	"vuelve"
"admirados"	28	"admirados"
"ánima"	28	"ánima"
"artificio"	28	"artificio"
"calidad"	28	"calidad"
"compadre"	28	"compadre"
"cuyas"	28	"cuyas"
"derecha"	28	"derecha"
"ella"	28	"ella"
"firme"	28	"firme"
"gaula"	28	"gaula"
"hablado"	28	"hablado"
"hallé"	28	"hallé"
"ínsulas"	28	"ínsulas"
"malo"	28	"malo"
"nacido"	28	"nacido"
"narices"	28	"narices"
"nombres"	28	"nombres"
"nuevos"	28	"nuevos"
"ofreció"	28	"ofreció"
"pareciéndole"	28	"pareciéndole"
"partida"	28	"partida"
"pensativo"	28	"pensativo"
"pequeño"	28	"pequeño"
"promesas"	28	"promesas"
"quiera"	28	"quiera"
"quisieres"	28	"quisieres"
"retablo"	28	"retablo"
"rostros"	28	"rostros"
"salida"	28	"salida"
"sano"	28	"sano"
"secreto"	28	"secreto"
"señoría"	28	"señoría"
"treinta"	28	"treinta"
"trifaldi"	28	"trifaldi"
"usar"	28	"usar"
"acerca"	27	"acerca"
"aguas"	27	"aguas"
"aliento"	27	"aliento"
"andaban"	27	"andaban"
"árbol"	27	"árbol"
"barco"	27	"barco"
"carnes"	27	"carnes"
"cartas"	27	"cartas"
"color"	27	"color"
"conviene"	27	"conviene"
"cuentan"	27	"cuentan"
"cuerdo"	27	"cuerdo"
"desnudo"	27	"desnudo"
"despecho"	27	"despecho"
"determinó"	27	"determinó"
"empresa"	27	"empresa"
"escudo"	27	"escudo"
"estómago"	27	"estómago"
"fácil"	27	"fácil"
"hallaba"	27	"hallaba"
"hiciera"	27	"hiciera"
"imaginar"	27	"imaginar"
"infanta"	27	"infanta"
"ladrón"	27	"ladrón"
"lugares"	27	"lugares"
"marcela"	27	"marcela"
"mes"	27	"mes"
"pasada"	27	"pasada"
"pedía"	27	"pedía"
"pendencia"	27	"pendencia"
"plaza"	27	"plaza"
"reinos"	27	"reinos"
"respondía"	27	"respondía"
"semejante"	27	"semejante"
"siete"	27	"siete"
"tío"	27	"tío"
"tosilos"	27	"tosilos"
"traído"	27	"traído"
"tratar"	27	"tratar"
"último"	27	"último"
"voto"	27	"voto"
"agradable"	26	"agradable"
"altas"	26	"altas"
"altos"	26	"altos"
"asió"	26	"asió"
"atrevido"	26	"atrevido"
"busca"	26	"busca"
"comodidad"	26	"comodidad"
"del"	26	"del"
"desa"	26	"desa"
"diablos"	26	"diablos"
"dulce"	26	"dulce"
"duro"	26	"duro"
"esperanzas"	26	"esperanzas"
"estraña"	26	"estraña"
"estudiante"	26	"estudiante"
"gobernar"	26	"gobernar"
"gracioso"	26	"gracioso"
"hacerme"	26	"hacerme"
"hermoso"	26	"hermoso"
"honesta"	26	"honesta"
"ley"	26	"ley"
"llevan"	26	"llevan"
"malicia"	26	"malicia"
"matar"	26	"matar"
"médico"	26	"médico"
"merlín"	26	"merlín"
"milagro"	26	"milagro"
"mover"	26	"mover"
"ordenó"	26	"ordenó"
"pequeña"	26	"pequeña"
"piernas"	26	"piernas"
"pocas"	26	"pocas"
"quedan"	26	"quedan"
"ricos"	26	"ricos"
"simple"	26	"simple"
"subió"	26	"subió"
"tercera"	26	"tercera"
"tomé"	26	"tomé"
"tonto"	26	"tonto"
"traer"	26	"traer"
"traían"	26	"traían"
"traza"	26	"traza"
"valientes"	26	"valientes"
"viéndole"	26	"viéndole"
"yendo"	26	"yendo"
"abrió"	25	"abrió"
"amiga"	25	"amiga"
"añadió"	25	"añadió"
"aquélla"	25	"aquélla"
"bajel"	25	"bajel"
"caballos"	25	"caballos"
"caída"	25	"caída"
"caña"	25	"caña"
"castellano"	25	"castellano"
"cierta"	25	"cierta"
"conforme"	25	"conforme"
"cuantas"	25	"cuantas"
"dejé"	25	"dejé"
"den"	25	"den"
"desventura"	25	"desventura"
"digna"	25	"digna"
"entrado"	25	"entrado"
"espero"	25	"espero"
"famosa"	25	"famosa"
"furia"	25	"furia"
"irse"	25	"irse"
"juramento"	25	"juramento"
"jurar"	25	"jurar"
"lacayo"	25	"lacayo"
"legua"	25	"legua"
"limpio"	25	"limpio"
"llega"	25	"llega"
"maestresala"	25	"maestresala"
"manda"	25	"manda"
"miró"	25	"miró"
"mostrar"	25	"mostrar"
"necesario"	25	"necesario"
"pasa"	25	"pasa"
"pecado"	25	"pecado"
"pecador"	25	"pecador"
"piedra"	25	"piedra"
"piensa"	25	"piensa"
"pobres"	25	"pobres"
"puro"	25	"puro"
"quise"	25	"quise"
"quitado"	25	"quitado"
"recebido"	25	"recebido"
"rigor"	25	"rigor"
"sentido"	25	"sentido"
"tendido"	25	"tendido"
"toma"	25	"toma"
"tomando"	25	"tomando"
"turcos"	25	"turcos"
"verme"	25	"verme"
"además"	24	"además"
"alabanzas"	24	"alabanzas"
"alcanza"	24	"alcanza"
"aparte"	24	"aparte"
"apriesa"	24	"apriesa"
"aviso"	24	"aviso"
"ayer"	24	"ayer"
"bastante"	24	"bastante"
"breves"	24	"breves"
"carga"	24	"carga"
"caza"	24	"caza"
"cielos"	24	"cielos"
"compañeros"	24	"compañeros"
"dará"	24	"dará"
"desgracias"	24	"desgracias"
"dijeron"	24	"dijeron"
"discretos"	24	"discretos"
"echado"	24	"echado"
"ejemplo"	24	"ejemplo"
"encantados"	24	"encantados"
"entrada"	24	"entrada"
"estancia"	24	"estancia"
"gobernadores"	24	"gobernadores"
"gregorio"	24	"gregorio"
"honrada"	24	"honrada"
"honrado"	24	"honrado"
"importa"	24	"importa"
"importancia"	24	"importancia"
"infinitos"	24	"infinitos"
"invención"	24	"invención"
"juntamente"	24	"juntamente"
"larga"	24	"larga"
"ligereza"	24	"ligereza"
"llegándose"	24	"llegándose"
"mentecato"	24	"mentecato"
"paño"	24	"paño"
"patria"	24	"patria"
"pechos"	24	"pechos"
"penitencia"	24	"penitencia"
"perdido"	24	"perdido"
"ponerme"	24	"ponerme"
"ponía"	24	"ponía"
"preguntar"	24	"preguntar"
"propio"	24	"propio"
"pude"	24	"pude"
"quince"	24	"quince"
"satisfecho"	24	"satisfecho"
"sentado"	24	"sentado"
"sintió"	24	"sintió"
"talante"	24	"talante"
"traigo"	24	"traigo"
"trecho"	24	"trecho"
"vecino"	24	"vecino"
"veía"	24	"veía"
"volvía"	24	"volvía"
"vuelva"	24	"vuelva"
"acertado"	23	"acertado"
"arremetió"	23	"arremetió"
"arte"	23	"arte"
"atención"	23	"atención"
"blancas"	23	"blancas"
"cantidad"	23	"cantidad"
"celos"	23	"celos"
"conde"	23	"conde"
"conocimiento"	23	"conocimiento"
"consejos"	23	"consejos"
"convenía"	23	"convenía"
"corral"	23	"corral"
"cuadrilleros"	23	"cuadrilleros"
"desencanto"	23	"desencanto"
"detrás"	23	"detrás"
"dura"	23	"dura"
"entendió"	23	"entendió"
"fecho"	23	"fecho"
"golpes"	23	"golpes"
"haz"	23	"haz"
"hízolo"	23	"hízolo"
"ido"	23	"ido"
"impertinente"	23	"impertinente"
"ingenioso"	23	"ingenioso"
"intento"	23	"intento"
"león"	23	"león"
"liberal"	23	"liberal"
"muerta"	23	"muerta"
"parecían"	23	"parecían"
"pobreza"	23	"pobreza"
"prosigue"	23	"prosigue"
"recio"	23	"recio"
"romance"	23	"romance"
"saliese"	23	"saliese"
"sitio"	23	"sitio"
"tocar"	23	"tocar"
"usan"	23	"usan"
"vee"	23	"vee"
"venida"	23	"venida"
"vergüenza"	23	"vergüenza"
"vinieron"	23	"vinieron"
"visorrey"	23	"visorrey"
"acaba"	22	"acaba"
"alegría"	22	"alegría"
"atento"	22	"atento"
"cabras"	22	"cabras"
"cayó"	22	"cayó"
"corona"	22	"corona"
"desdichada"	22	"desdichada"
"desenvoltura"	22	"desenvoltura"
"diversas"	22	"diversas"
"ejecución"	22	"ejecución"
"escuchando"	22	"escuchando"
"estando"	22	"estando"
"faltar"	22	"faltar"
"grave"	22	"grave"
"haberse"	22	"haberse"
"humilde"	22	"humilde"
"lenguas"	22	"lenguas"
"llamó"	22	"llamó"
"llegue"	22	"llegue"
"llevo"	22	"llevo"
"meses"	22	"meses"
"miraba"	22	"miraba"
"mostrado"	22	"mostrado"
"ordinario"	22	"ordinario"
"papeles"	22	"papeles"
"paréceme"	22	"paréceme"
"pelo"	22	"pelo"
"pintado"	22	"pintado"
"podéis"	22	"podéis"
"ponerle"	22	"ponerle"
"prado"	22	"prado"
"puestas"	22	"puestas"
"pusiese"	22	"pusiese"
"refrán"	22	"refrán"
"río"	22	"río"
"riquezas"	22	"riquezas"
"roldán"	22	"roldán"
"roto"	22	"roto"
"sacado"	22	"sacado"
"salvo"	22	"salvo"
"talle"	22	"talle"
"traidor"	22	"traidor"
"vas"	22	"vas"
"vela"	22	"vela"
"vencimiento"	22	"vencimiento"
"vestida"	22	"vestida"
"yerbas"	22	"yerbas"
"acabe"	21	"acabe"
"atrevimiento"	21	"atrevimiento"
"bellaco"	21	"bellaco"
"calles"	21	"calles"
"campos"	21	"campos"
"cola"	21	"cola"
"confusión"	21	"confusión"
"daga"	21	"daga"
"dándole"	21	"dándole"
"debían"	21	"debían"
"demonio"	21	"demonio"
"descuido"	21	"descuido"
"diferencia"	21	"diferencia"
"dijera"	21	"dijera"
"entiende"	21	"entiende"
"escritos"	21	"escritos"
"estilo"	21	"estilo"
"figuras"	21	"figuras"
"galeotes"	21	"galeotes"
"habla"	21	"habla"
"halla"	21	"halla"
"hechas"	21	"hechas"
"hermandad"	21	"hermandad"
"jaez"	21	"jaez"
"justas"	21	"justas"
"labios"	21	"labios"
"lástima"	21	"lástima"
"liberalidad"	21	"liberalidad"
"llena"	21	"llena"
"mandar"	21	"mandar"
"máquina"	21	"máquina"
"maravilla"	21	"maravilla"
"menor"	21	"menor"
"miserable"	21	"miserable"
"misericordia"	21	"misericordia"
"monte"	21	"monte"
"mora"	21	"mora"
"música"	21	"música"
"nací"	21	"nací"
"ofrecimientos"	21	"ofrecimientos"
"pagado"	21	"pagado"
"perjuicio"	21	"perjuicio"
"peso"	21	"peso"
"poesía"	21	"poesía"
"pregunta"	21	"pregunta"
"prudente"	21	"prudente"
"prueba"	21	"prueba"
"rica"	21	"rica"
"sabían"	21	"sabían"
"sanchica"	21	"sanchica"
"sentencias"	21	"sentencias"
"sentimiento"	21	"sentimiento"
"soledad"	21	"soledad"
"suspensos"	21	"suspensos"
"temerosa"	21	"temerosa"
"temiendo"	21	"temiendo"
"todos"	21	"todos"
"tome"	21	"tome"
"trigo"	21	"trigo"
"ven"	21	"ven"
"vendrá"	21	"vendrá"
"zaragoza"	21	"zaragoza"
"acudieron"	20	"acudieron"
"álvaro"	20	"álvaro"
"andan"	20	"andan"
"argel"	20	"argel"
"arriero"	20	"arriero"
"arrojó"	20	"arrojó"
"autores"	20	"autores"
"batallas"	20	"batallas"
"brevedad"	20	"brevedad"
"bronce"	20	"bronce"
"caballeriza"	20	"caballeriza"
"canto"	20	"canto"
"ciencia"	20	"ciencia"
"comedia"	20	"comedia"
"comido"	20	"comido"
"contigo"	20	"contigo"
"costillas"	20	"costillas"
"cuándo"	20	"cuándo"
"cubierto"	20	"cubierto"
"daría"	20	"daría"
"debes"	20	"debes"
"dedo"	20	"dedo"
"defensa"	20	"defensa"
"descubrió"	20	"descubrió"
"diesen"	20	"diesen"
"duerme"	20	"duerme"
"enamorados"	20	"enamorados"
"encierra"	20	"encierra"
"entendido"	20	"entendido"
"escribió"	20	"escribió"
"estrellas"	20	"estrellas"
"faltaba"	20	"faltaba"
"fee"	20	"fee"
"felice"	20	"felice"
"flor"	20	"flor"
"guía"	20	"guía"
"hierro"	20	"hierro"
"ignorante"	20	"ignorante"
"lienzo"	20	"lienzo"
"maravillas"	20	"maravillas"
"mientras"	20	"mientras"
"miraban"	20	"miraban"
"montaña"	20	"montaña"
"movido"	20	"movido"
"mozos"	20	"mozos"
"pastora"	20	"pastora"
"patio"	20	"patio"
"peña"	20	"peña"
"persiguen"	20	"persiguen"
"poderoso"	20	"poderoso"
"precio"	20	"precio"
"prudencia"	20	"prudencia"
"puerto"	20	"puerto"
"quedado"	20	"quedado"
"quedará"	20	"quedará"
"quede"	20	"quede"
"recato"	20	"recato"
"ropa"	20	"ropa"
"ruego"	20	"ruego"
"segura"	20	"segura"
"suceder"	20	"suceder"
"sujeto"	20	"sujeto"
"trecientos"	20	"trecientos"
"vais"	20	"vais"
"válame"	20	"válame"
"veis"	20	"veis"
"vencedor"	20	"vencedor"
"verla"	20	"verla"
"vimos"	20	"vimos"
"viniere"	20	"viniere"
"vulgo"	20	"vulgo"
"acciones"	19	"acciones"
"adarga"	19	"adarga"
"andrés"	19	"andrés"
"bendición"	19	"bendición"
"blanda"	19	"blanda"
"camisa"	19	"camisa"
"cara"	19	"cara"
"carrera"	19	"carrera"
"casado"	19	"casado"
"ceremonias"	19	"ceremonias"
"circunstantes"	19	"circunstantes"
"claudia"	19	"claudia"
"comida"	19	"comida"
"como"	19	"como"
"compañero"	19	"compañero"
"corta"	19	"corta"
"dedos"	19	"dedos"
"dejan"	19	"dejan"
"desmayada"	19	"desmayada"
"despertó"	19	"despertó"
"desventuras"	19	"desventuras"
"digas"	19	"digas"
"discretas"	19	"discretas"
"docientos"	19	"docientos"
"durmiendo"	19	"durmiendo"
"engañado"	19	"engañado"
"entra"	19	"entra"
"escondido"	19	"escondido"
"espadas"	19	"espadas"
"espanto"	19	"espanto"
"espíritu"	19	"espíritu"
"estrecheza"	19	"estrecheza"
"fortaleza"	19	"fortaleza"
"gallardo"	19	"gallardo"
"hermanos"	19	"hermanos"
"humana"	19	"humana"
"humano"	19	"humano"
"humor"	19	"humor"
"improviso"	19	"improviso"
"llegóse"	19	"llegóse"
"llenas"	19	"llenas"
"menudo"	19	"menudo"
"mirado"	19	"mirado"
"montañas"	19	"montañas"
"muelas"	19	"muelas"
"nación"	19	"nación"
"ojo"	19	"ojo"
"olvido"	19	"olvido"
"paga"	19	"paga"
"peligros"	19	"peligros"
"piedras"	19	"piedras"
"plata"	19	"plata"
"poniendo"	19	"poniendo"
"preguntóle"	19	"preguntóle"
"primeros"	19	"primeros"
"pudieran"	19	"pudieran"
"pudiere"	19	"pudiere"
"sabéis"	19	"sabéis"
"sabré"	19	"sabré"
"sea"	19	"sea"
"secretario"	19	"secretario"
"sevilla"	19	"sevilla"
"sirva"	19	"sirva"
"sufrir"	19	"sufrir"
"tocaba"	19	"tocaba"
"trance"	19	"trance"
"vengo"	19	"vengo"
"verdaderos"	19	"verdaderos"
"veréis"	19	"veréis"
"virtudes"	19	"virtudes"
"yerba"	19	"yerba"
